Sample	Taxon	Rank	Abundance	Type	IDGroup	SampleName	Strain	Cage	MouseID	Treatment	Colonization	Community	Sex	DOB	Notch	Control	Source
SP_31	Phocaeicola	Genus	0.18765262756148865	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_48_re	Phocaeicola	Genus	0.1871950029279719	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_37	Phocaeicola	Genus	0.18709753912118968	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_55	Phocaeicola	Genus	0.18587255587278828	RelativeAbundance	SP_55	Mucus 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Mucus
SP_58	Phocaeicola	Genus	0.18540512870206718	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_3	Phocaeicola	Genus	0.18450951952252342	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_19	Phocaeicola	Genus	0.18417157781944815	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_16	Phocaeicola	Genus	0.18201377718994177	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_17	Phocaeicola	Genus	0.1815670825975303	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_12	Sarcina	Genus	0.18151102840233074	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_38	Phocaeicola	Genus	0.1807473000624527	RelativeAbundance	SP_38	Feces 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Feces
SP_27	Phocaeicola	Genus	0.17973617827197563	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_21	Phocaeicola	Genus	0.17972571543654312	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_11	Phocaeicola	Genus	0.17828720529307612	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_36	Phocaeicola	Genus	0.17818673782543828	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_10	Phocaeicola	Genus	0.1773323499211824	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_28	Phocaeicola	Genus	0.17673682436475815	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_48	Phocaeicola	Genus	0.17530631479736097	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_51_re	Phocaeicola	Genus	0.1731567660304525	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_51_re	Sarcina	Genus	0.17301308170705554	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_13	Phocaeicola	Genus	0.17177838753454647	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_32	Sarcina	Genus	0.17142352441478742	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_22	Phocaeicola	Genus	0.17082502539407846	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_42	Phocaeicola	Genus	0.16975723994827535	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_23	Phocaeicola	Genus	0.16714114913487785	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_30	Phocaeicola	Genus	0.1665933951135854	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_35	Bariatricus	Genus	0.16650698938286132	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_9	Phocaeicola	Genus	0.16625222024866784	RelativeAbundance	SP_9	Colon 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Colon
SP_20	Phocaeicola	Genus	0.16619469330312706	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_51	Sarcina	Genus	0.16609360384478922	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_16	Roseburia	Genus	0.16526911253797041	RelativeAbundance	SP_16	Colon 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Colon
SP_33	Phocaeicola	Genus	0.16471315548228552	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_2	Phocaeicola	Genus	0.16439095089684633	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_32	Phocaeicola	Genus	0.15874673007379414	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_41	Phocaeicola	Genus	0.15786043212555986	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_58	Roseburia	Genus	0.15511448259009356	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_51	Phocaeicola	Genus	0.15273360642518466	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_35	Roseburia	Genus	0.15117610256697575	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_34	Bariatricus	Genus	0.15114874117299587	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_29	Bariatricus	Genus	0.14992112323909226	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_12	Phocaeicola	Genus	0.14950120503981207	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_57	Roseburia	Genus	0.14947159986339612	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_20	Roseburia	Genus	0.14897195620087186	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_54	Phocaeicola	Genus	0.14380957422625518	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_39	Phocaeicola	Genus	0.1400729289182702	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_7	Roseburia	Genus	0.13766593008282593	RelativeAbundance	SP_7	Colon 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Colon
SP_54	Bariatricus	Genus	0.1340161241603946	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_23	Sarcina	Genus	0.13321302082158407	RelativeAbundance	SP_23	Feces 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_30	Roseburia	Genus	0.13236759975450402	RelativeAbundance	SP_30	Feces 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_29	Roseburia	Genus	0.1317390731236473	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_58_re	Roseburia	Genus	0.1317163943559919	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_29	Phocaeicola	Genus	0.13023807600233017	RelativeAbundance	SP_29	Feces 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Feces
SP_35	Phocaeicola	Genus	0.12858223380115977	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_19	Roseburia	Genus	0.12778261451915351	RelativeAbundance	SP_19	Colon 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Colon
SP_18	Roseburia	Genus	0.12688218546149133	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_3	Sarcina	Genus	0.12611283385015504	RelativeAbundance	SP_3	Colon 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_17	Roseburia	Genus	0.12568486283337538	RelativeAbundance	SP_17	Colon 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Colon
SP_11	Roseburia	Genus	0.12559873264374244	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_33	Sarcina	Genus	0.12453104176135707	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_48	Bariatricus	Genus	0.12358362132160436	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_34	Phocaeicola	Genus	0.12202164126339154	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_27	Roseburia	Genus	0.12086303074029768	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_22	Sarcina	Genus	0.12010082389676838	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_2	Roseburia	Genus	0.11977202885600333	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_39	Bariatricus	Genus	0.11717848412560881	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_6	Roseburia	Genus	0.1157242381832381	RelativeAbundance	SP_6	Colon 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_38	Roseburia	Genus	0.11569238736931896	RelativeAbundance	SP_38	Feces 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Feces
SP_26	Roseburia	Genus	0.11556272318857275	RelativeAbundance	SP_26	Feces 6	Muc2-/-	1322B	C6	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_58	Bariatricus	Genus	0.1141223633402921	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_15	Roseburia	Genus	0.11385100589404507	RelativeAbundance	SP_15	Colon 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Colon
SP_42	Sarcina	Genus	0.11329428923706132	RelativeAbundance	SP_42	Mucus 3	Muc2-/-	3970R	C3	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_51	Roseburia	Genus	0.11056994484404735	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_54	Roseburia	Genus	0.10906073184630667	RelativeAbundance	SP_54	Mucus 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Mucus
SP_56	Bariatricus	Genus	0.10899507396549526	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_21	Sarcina	Genus	0.10842799546086546	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_40	Roseburia	Genus	0.10830971558535679	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_13	Roseburia	Genus	0.10789987221523313	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_8	Roseburia	Genus	0.10781748834581155	RelativeAbundance	SP_8	Colon 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Colon
SP_10	Roseburia	Genus	0.10779571058758877	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_31	Roseburia	Genus	0.1064167424722867	RelativeAbundance	SP_31	Feces 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Feces
SP_48	Roseburia	Genus	0.10561315320976018	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_22	Roseburia	Genus	0.10416462887024566	RelativeAbundance	SP_22	Feces 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_4	Roseburia	Genus	0.1027028260390073	RelativeAbundance	SP_4	Colon 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Colon
SP_9	Roseburia	Genus	0.10157098760109676	RelativeAbundance	SP_9	Colon 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Colon
SP_12	Roseburia	Genus	0.09985559860479779	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_36	Roseburia	Genus	0.0995793968796104	RelativeAbundance	SP_36	Feces 17	Muc2-/-	1063R	H3	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	None	Treatment	Feces
SP_49	Roseburia	Genus	0.09956682564666365	RelativeAbundance	SP_49	Mucus 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_34	Thomasclavelia	Genus	0.09933500997932534	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_39	Roseburia	Genus	0.0986107372899791	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_37	Bariatricus	Genus	0.0976460229625008	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_24	Roseburia	Genus	0.0974739265669798	RelativeAbundance	SP_24	Feces 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Feces
SP_20	Bariatricus	Genus	0.09738097689904919	RelativeAbundance	SP_20	Colon 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Colon
SP_47	Bariatricus	Genus	0.09731274738156967	RelativeAbundance	SP_47	Mucus 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Mucus
SP_37	Roseburia	Genus	0.0963048916307574	RelativeAbundance	SP_37	Feces 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Feces
SP_51	Bariatricus	Genus	0.09588104376995775	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_52	Sarcina	Genus	0.09425317330149166	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_52	Roseburia	Genus	0.09418683648890688	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_13	Sarcina	Genus	0.09354043050588899	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_32	Roseburia	Genus	0.09328469297427328	RelativeAbundance	SP_32	Feces 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Feces
SP_8	Escherichia	Genus	0.09275321373075293	RelativeAbundance	SP_8	Colon 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Colon
SP_50	Roseburia	Genus	0.09262756618752842	RelativeAbundance	SP_50	Mucus 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Mucus
SP_21	Roseburia	Genus	0.09230477267533957	RelativeAbundance	SP_21	Feces 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Feces
SP_12	Escherichia	Genus	0.0907923772333913	RelativeAbundance	SP_12	Colon 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Colon
SP_28	Roseburia	Genus	0.09006108775777885	RelativeAbundance	SP_28	Feces 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Feces
SP_34	Fusobacterium	Genus	0.0897996079870403	RelativeAbundance	SP_34	Feces 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Feces
SP_48_re	Roseburia	Genus	0.08865172568761945	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_5	Sarcina	Genus	0.0886390073671966	RelativeAbundance	SP_5	Colon 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_2	Sarcina	Genus	0.08817808338600353	RelativeAbundance	SP_2	Colon 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_51_re	Roseburia	Genus	0.0881363928801201	RelativeAbundance	SP_51	Mucus 12	Muc2-/-	3793R	C12	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	None	Treatment	Mucus
SP_43	Roseburia	Genus	0.08703826924603053	RelativeAbundance	SP_43	Mucus 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_47	Roseburia	Genus	0.086808292043616	RelativeAbundance	SP_47	Mucus 8	Muc2-/-	045R	C8	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	R	Treatment	Mucus
SP_56	Roseburia	Genus	0.0867416943459321	RelativeAbundance	SP_56	Mucus 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Mucus
SP_10	Enterocloster	Genus	0.08610279549365844	RelativeAbundance	SP_10	Colon 10	Muc2-/-	3731R	C10	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Colon
SP_41	Roseburia	Genus	0.08505032883881489	RelativeAbundance	SP_41	Mucus 2	Muc2-/-	099R	C2	NC	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Mucus
SP_13	Escherichia	Genus	0.08502540836643521	RelativeAbundance	SP_13	Colon 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Colon
SP_48_re	Bariatricus	Genus	0.08491345459827772	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_18	Fusobacterium	Genus	0.08463978087721195	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_53	Bariatricus	Genus	0.08413838267506718	RelativeAbundance	SP_53	Mucus 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Mucus
SP_58_re	Bariatricus	Genus	0.08374342323748253	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
SP_46	Roseburia	Genus	0.08369298770771343	RelativeAbundance	SP_46	Mucus 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Mucus
SP_9	Bariatricus	Genus	0.08361585817999966	RelativeAbundance	SP_9	Colon 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Colon
SP_11	Enterocloster	Genus	0.0835274749169074	RelativeAbundance	SP_11	Colon 11	Muc2-/-	3731R	C11	OA	C.P. + Comm21	CommunityCP	M	9-Aug-25	R	Treatment	Colon
SP_35	Fusobacterium	Genus	0.08322081220644124	RelativeAbundance	SP_35	Feces 16	Muc2-/-	4376BL	H2	OA	H. M.  + Comm21	CommunityHM	F	15-Aug-25	L	Treatment	Feces
SP_39	Fusobacterium	Genus	0.08243585536624844	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_53	Roseburia	Genus	0.08227084885847842	RelativeAbundance	SP_53	Mucus 15	Muc2-/-	2424R	H1	OA	H. M.  + Comm21	CommunityHM	M	15-Aug-25	None	Treatment	Mucus
SP_48	Agathobacter	Genus	0.08136454078961149	RelativeAbundance	SP_48	Mucus 9	Muc2-/-	045R	C9	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	L	Treatment	Mucus
SP_18	Bariatricus	Genus	0.08098533174757631	RelativeAbundance	SP_18	Colon 18	Muc2-/-	1063R	H4	NC	H. M.  + Comm21	CommunityHM	F	15-Aug-25	R	Treatment	Colon
SP_52	Bariatricus	Genus	0.08097894835564767	RelativeAbundance	SP_52	Mucus 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Mucus
SP_25	Roseburia	Genus	0.08079168416994692	RelativeAbundance	SP_25	Feces 5	Muc2-/-	1322B	C5	MT	C.P. + Comm21	CommunityCP	M	9-Aug-25	None	Treatment	Feces
SP_43	Bariatricus	Genus	0.08076282102153065	RelativeAbundance	SP_43	Mucus 4	Muc2-/-	3778BL	C4	NC	C.P. + Comm21	CommunityCP	M	17-Aug-25	None	Treatment	Mucus
SP_39	Thomasclavelia	Genus	0.08033979419149556	RelativeAbundance	SP_39	Feces 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Feces
SP_27	Thomasclavelia	Genus	0.08024997546399573	RelativeAbundance	SP_27	Feces 7	Muc2-/-	045R	C7	MT	C.P. + Comm21	CommunityCP	F	17-Aug-25	None	Treatment	Feces
SP_57	Bariatricus	Genus	0.079972804546779	RelativeAbundance	SP_57	Mucus 19	Muc2-/-	1094R	H5	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	L	Treatment	Mucus
SP_33	Roseburia	Genus	0.07968438243881396	RelativeAbundance	SP_33	Feces 13	Muc2-/-	3793R	C13	OA	C.P. + Comm21	CommunityCP	F	9-Aug-25	R	Treatment	Feces
SP_40	Enterocloster	Genus	0.07920243699806148	RelativeAbundance	SP_40	Mucus 1	Muc2-/-	4181B	C1	NC	C.P. + Comm21	CommunityCP	M	30-May-25	None	Treatment	Mucus
SP_58_re	Fusobacterium	Genus	0.07862198813781217	RelativeAbundance	SP_58	Mucus 20	Muc2-/-	1094R	H6	NC	H. M.  + Comm21	CommunityHM	M	15-Aug-25	RL	Treatment	Mucus
